ranking_date,player_name,country_code,points,season_summary
2000-11-27,Martina Hingis,SUI,6180,
2000-11-27,Lindsay Davenport,USA,5022,
2000-11-27,Venus Williams,USA,3694,
2000-11-27,Monica Seles,USA,3255,
2000-11-27,Conchita Martínez,ESP,2795,
2000-11-27,Serena Williams,USA,2306,
2000-11-27,Mary Pierce,FRA,2162,
2000-11-27,Anna Kournikova,RUS,2158,
2000-11-27,Arantxa Sanchez-Vicario,ESP,2132,
2000-11-27,Nathalie Tauziat,FRA,1963,
2000-11-27,Amanda Coetzer,RSA,1798,
2000-11-27,Elena Dementieva,RUS,1774,
2000-12-04,Martina Hingis,SUI,6180,
2000-12-04,Lindsay Davenport,USA,5022,
2000-12-04,Venus Williams,USA,3694,
2000-12-04,Monica Seles,USA,3255,
2000-12-04,Conchita Martínez,ESP,2795,
2000-12-04,Serena Williams,USA,2306,
2000-12-04,Mary Pierce,FRA,2162,
2000-12-04,Anna Kournikova,RUS,2158,
2000-12-04,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-04,Nathalie Tauziat,FRA,1963,
2000-12-04,Amanda Coetzer,RSA,1798,
2000-12-04,Elena Dementieva,RUS,1774,
2000-12-11,Martina Hingis,SUI,6180,
2000-12-11,Lindsay Davenport,USA,5022,
2000-12-11,Venus Williams,USA,3694,
2000-12-11,Monica Seles,USA,3255,
2000-12-11,Conchita Martínez,ESP,2795,
2000-12-11,Serena Williams,USA,2306,
2000-12-11,Mary Pierce,FRA,2162,
2000-12-11,Anna Kournikova,RUS,2158,
2000-12-11,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-11,Nathalie Tauziat,FRA,1963,
2000-12-11,Amanda Coetzer,RSA,1798,
2000-12-11,Elena Dementieva,RUS,1774,
2000-12-18,Martina Hingis,SUI,6180,
2000-12-18,Lindsay Davenport,USA,5022,
2000-12-18,Venus Williams,USA,3694,
2000-12-18,Monica Seles,USA,3255,
2000-12-18,Conchita Martínez,ESP,2795,
2000-12-18,Serena Williams,USA,2306,
2000-12-18,Mary Pierce,FRA,2162,
2000-12-18,Anna Kournikova,RUS,2158,
2000-12-18,Arantxa Sanchez-Vicario,ESP,2132,
2000-12-18,Nathalie Tauziat,FRA,1963,
2000-12-18,Amanda Coetzer,RSA,1798,
2000-12-18,Elena Dementieva,RUS,1774,
2000-12-25,Martina Hingis,SUI,6044,
2000-12-25,Lindsay Davenport,USA,5021,
2000-12-25,Venus Williams,USA,3694,
2000-12-25,Monica Seles,USA,3255,
2000-12-25,Conchita Martínez,ESP,2752,
2000-12-25,Serena Williams,USA,2306,
2000-12-25,Mary Pierce,FRA,2162,
2000-12-25,Arantxa Sanchez-Vicario,ESP,2131,
2000-12-25,Anna Kournikova,RUS,2098,
2000-12-25,Nathalie Tauziat,FRA,1918,
2000-12-25,Elena Dementieva,RUS,1773,
2000-12-25,Amanda Coetzer,RSA,1752,
2001-01-01,Martina Hingis,SUI,6044,
2001-01-01,Lindsay Davenport,USA,5021,
2001-01-01,Venus Williams,USA,3694,
2001-01-01,Monica Seles,USA,3255,
2001-01-01,Conchita Martínez,ESP,2752,
2001-01-01,Serena Williams,USA,2306,
2001-01-01,Mary Pierce,FRA,2162,
2001-01-01,Arantxa Sanchez-Vicario,ESP,2131,
2001-01-01,Anna Kournikova,RUS,2098,
2001-01-01,Nathalie Tauziat,FRA,1918,
2001-01-01,Elena Dementieva,RUS,1773,
2001-01-01,Amanda Coetzer,RSA,1752,
2001-01-08,Martina Hingis,SUI,6044,
2001-01-08,Lindsay Davenport,USA,5021,
2001-01-08,Venus Williams,USA,3694,
2001-01-08,Monica Seles,USA,3255,
2001-01-08,Conchita Martínez,ESP,2636,
2001-01-08,Serena Williams,USA,2306,
2001-01-08,Mary Pierce,FRA,2162,
2001-01-08,Anna Kournikova,RUS,2098,
2001-01-08,Arantxa Sanchez-Vicario,ESP,2030,
2001-01-08,Nathalie Tauziat,FRA,1918,
2001-01-08,Elena Dementieva,RUS,1773,
2001-01-08,Amanda Coetzer,RSA,1752,
2001-01-15,Martina Hingis,SUI,6252,
2001-01-15,Lindsay Davenport,USA,4966,
2001-01-15,Venus Williams,USA,3694,
2001-01-15,Monica Seles,USA,3313,
2001-01-15,Conchita Martínez,ESP,2697,
2001-01-15,Serena Williams,USA,2374,
2001-01-15,Mary Pierce,FRA,2158,
2001-01-15,Anna Kournikova,RUS,2020,
2001-01-15,Arantxa Sanchez-Vicario,ESP,1935,
2001-01-15,Nathalie Tauziat,FRA,1918,
2001-01-15,Elena Dementieva,RUS,1812,
2001-01-15,Amanda Coetzer,RSA,1752,
2001-01-29,Martina Hingis,SUI,6248,
2001-01-29,Lindsay Davenport,USA,4468,
2001-01-29,Venus Williams,USA,4094,
2001-01-29,Monica Seles,USA,3521,
2001-01-29,Serena Williams,USA,2454,
2001-01-29,Conchita Martínez,ESP,2404,
2001-01-29,Jennifer Capriati,USA,2274,
2001-01-29,Mary Pierce,FRA,2126,
2001-01-29,Anna Kournikova,RUS,2098,
2001-01-29,Amanda Coetzer,RSA,1914,
2001-01-29,Nathalie Tauziat,FRA,1907,
2001-01-29,Elena Dementieva,RUS,1808,
2001-02-05,Martina Hingis,SUI,6105,
2001-02-05,Lindsay Davenport,USA,4892,
2001-02-05,Venus Williams,USA,4094,
2001-02-05,Monica Seles,USA,3521,
2001-02-05,Serena Williams,USA,2454,
2001-02-05,Conchita Martínez,ESP,2404,
2001-02-05,Jennifer Capriati,USA,2274,
2001-02-05,Anna Kournikova,RUS,2144,
2001-02-05,Mary Pierce,FRA,2125,
2001-02-05,Amanda Coetzer,RSA,1880,
2001-02-05,Nathalie Tauziat,FRA,1869,
2001-02-05,Elena Dementieva,RUS,1808,
2001-02-12,Martina Hingis,SUI,6105,
2001-02-12,Lindsay Davenport,USA,4892,
2001-02-12,Venus Williams,USA,4094,
2001-02-12,Monica Seles,USA,3521,
2001-02-12,Conchita Martínez,ESP,2404,
2001-02-12,Jennifer Capriati,USA,2274,
2001-02-12,Serena Williams,USA,2238,
2001-02-12,Mary Pierce,FRA,2126,
2001-02-12,Anna Kournikova,RUS,2087,
2001-02-12,Amanda Coetzer,RSA,1880,
2001-02-12,Elena Dementieva,RUS,1799,
2001-02-12,Nathalie Tauziat,FRA,1692,
2001-02-19,Martina Hingis,SUI,6134,
2001-02-19,Lindsay Davenport,USA,4892,
2001-02-19,Venus Williams,USA,4207,
2001-02-19,Monica Seles,USA,3521,
2001-02-19,Conchita Martínez,ESP,2404,
2001-02-19,Jennifer Capriati,USA,2274,
2001-02-19,Mary Pierce,FRA,2127,
2001-02-19,Anna Kournikova,RUS,2087,
2001-02-19,Serena Williams,USA,1957,
2001-02-19,Amanda Coetzer,RSA,1880,
2001-02-19,Elena Dementieva,RUS,1849,
2001-02-19,Amélie Mauresmo,FRA,1743,
2001-02-26,Martina Hingis,SUI,6202,
2001-02-26,Lindsay Davenport,USA,4892,
2001-02-26,Venus Williams,USA,4207,
2001-02-26,Monica Seles,USA,3530,
2001-02-26,Jennifer Capriati,USA,2414,
2001-02-26,Conchita Martínez,ESP,2404,
2001-02-26,Mary Pierce,FRA,2185,
2001-02-26,Anna Kournikova,RUS,2087,
2001-02-26,Serena Williams,USA,1957,
2001-02-26,Elena Dementieva,RUS,1849,
2001-02-26,Amanda Coetzer,RSA,1820,
2001-02-26,Nathalie Tauziat,FRA,1811,
2001-03-05,Martina Hingis,SUI,6176,
2001-03-05,Lindsay Davenport,USA,4926,
2001-03-05,Venus Williams,USA,4207,
2001-03-05,Monica Seles,USA,3537,
2001-03-05,Jennifer Capriati,USA,2480,
2001-03-05,Conchita Martínez,ESP,2404,
2001-03-05,Mary Pierce,FRA,2076,
2001-03-05,Amanda Coetzer,RSA,2019,
2001-03-05,Anna Kournikova,RUS,2008,
2001-03-05,Serena Williams,USA,1957,
2001-03-05,Elena Dementieva,RUS,1955,
2001-03-05,Nathalie Tauziat,FRA,1811,
2001-03-19,Martina Hingis,SUI,6013,
2001-03-19,Lindsay Davenport,USA,4558,
2001-03-19,Venus Williams,USA,4381,
2001-03-19,Monica Seles,USA,3425,
2001-03-19,Jennifer Capriati,USA,2480,
2001-03-19,Conchita Martínez,ESP,2341,
2001-03-19,Serena Williams,USA,2275,
2001-03-19,Amanda Coetzer,RSA,2019,
2001-03-19,Anna Kournikova,RUS,2008,
2001-03-19,Mary Pierce,FRA,1862,
2001-03-19,Elena Dementieva,RUS,1845,
2001-03-19,Nathalie Tauziat,FRA,1811,
2001-04-02,Martina Hingis,SUI,5763,
2001-04-02,Venus Williams,USA,4824,
2001-04-02,Lindsay Davenport,USA,4378,
2001-04-02,Monica Seles,USA,3223,
2001-04-02,Jennifer Capriati,USA,2646,
2001-04-02,Serena Williams,USA,2320,
2001-04-02,Conchita Martínez,ESP,2302,
2001-04-02,Anna Kournikova,RUS,2007,
2001-04-02,Elena Dementieva,RUS,1978,
2001-04-02,Amanda Coetzer,RSA,1957,
2001-04-02,Mary Pierce,FRA,1861,
2001-04-02,Nathalie Tauziat,FRA,1819,
2001-04-09,Martina Hingis,SUI,5763,
2001-04-09,Venus Williams,USA,4824,
2001-04-09,Lindsay Davenport,USA,4378,
2001-04-09,Monica Seles,USA,3223,
2001-04-09,Jennifer Capriati,USA,2646,
2001-04-09,Serena Williams,USA,2320,
2001-04-09,Conchita Martínez,ESP,2302,
2001-04-09,Anna Kournikova,RUS,2007,
2001-04-09,Elena Dementieva,RUS,1978,
2001-04-09,Amanda Coetzer,RSA,1957,
2001-04-09,Arantxa Sanchez-Vicario,ESP,1911,
2001-04-09,Mary Pierce,FRA,1861,
2001-04-16,Martina Hingis,SUI,5763,
2001-04-16,Venus Williams,USA,4824,
2001-04-16,Lindsay Davenport,USA,4378,
2001-04-16,Monica Seles,USA,2912,
2001-04-16,Jennifer Capriati,USA,2646,
2001-04-16,Serena Williams,USA,2319,
2001-04-16,Amanda Coetzer,RSA,2095,
2001-04-16,Conchita Martínez,ESP,2080,
2001-04-16,Amélie Mauresmo,FRA,2053,
2001-04-16,Arantxa Sanchez-Vicario,ESP,2051,
2001-04-16,Elena Dementieva,RUS,2027,
2001-04-16,Anna Kournikova,RUS,1974,
2001-04-23,Martina Hingis,SUI,5860,
2001-04-23,Venus Williams,USA,4824,
2001-04-23,Lindsay Davenport,USA,4378,
2001-04-23,Jennifer Capriati,USA,3046,
2001-04-23,Monica Seles,USA,2749,
2001-04-23,Serena Williams,USA,2319,
2001-04-23,Amélie Mauresmo,FRA,2143,
2001-04-23,Amanda Coetzer,RSA,2106,
2001-04-23,Conchita Martínez,ESP,2103,
2001-04-23,Elena Dementieva,RUS,2012,
2001-04-23,Anna Kournikova,RUS,1968,
2001-04-23,Nathalie Tauziat,FRA,1819,
2001-04-30,Martina Hingis,SUI,5860,
2001-04-30,Venus Williams,USA,4824,
2001-04-30,Lindsay Davenport,USA,4378,
2001-04-30,Jennifer Capriati,USA,3046,
2001-04-30,Monica Seles,USA,2749,
2001-04-30,Serena Williams,USA,2319,
2001-04-30,Amélie Mauresmo,FRA,2143,
2001-04-30,Amanda Coetzer,RSA,2106,
2001-04-30,Conchita Martínez,ESP,2103,
2001-04-30,Elena Dementieva,RUS,2012,
2001-04-30,Anna Kournikova,RUS,1968,
2001-04-30,Nathalie Tauziat,FRA,1819,
2001-05-07,Martina Hingis,SUI,5725,
2001-05-07,Venus Williams,USA,5034,
2001-05-07,Lindsay Davenport,USA,4378,
2001-05-07,Jennifer Capriati,USA,3046,
2001-05-07,Monica Seles,USA,2749,
2001-05-07,Serena Williams,USA,2319,
2001-05-07,Conchita Martínez,ESP,2050,
2001-05-07,Amanda Coetzer,RSA,2029,
2001-05-07,Amélie Mauresmo,FRA,2015,
2001-05-07,Elena Dementieva,RUS,2012,
2001-05-07,Anna Kournikova,RUS,1926,
2001-05-07,Nathalie Tauziat,FRA,1819,
2001-05-14,Martina Hingis,SUI,5725,
2001-05-14,Venus Williams,USA,5074,
2001-05-14,Lindsay Davenport,USA,4378,
2001-05-14,Jennifer Capriati,USA,3338,
2001-05-14,Monica Seles,USA,2749,
2001-05-14,Amélie Mauresmo,FRA,2472,
2001-05-14,Serena Williams,USA,2319,
2001-05-14,Anna Kournikova,RUS,1926,
2001-05-14,Elena Dementieva,RUS,1886,
2001-05-14,Amanda Coetzer,RSA,1849,
2001-05-14,Nathalie Tauziat,FRA,1819,
2001-05-14,Arantxa Sanchez-Vicario,ESP,1740,
2001-05-21,Martina Hingis,SUI,5725,
2001-05-21,Venus Williams,USA,5015,
2001-05-21,Lindsay Davenport,USA,4329,
2001-05-21,Jennifer Capriati,USA,3338,
2001-05-21,Amélie Mauresmo,FRA,2485,
2001-05-21,Monica Seles,USA,2423,
2001-05-21,Serena Williams,USA,2319,
2001-05-21,Anna Kournikova,RUS,1926,
2001-05-21,Elena Dementieva,RUS,1861,
2001-05-21,Conchita Martínez,ESP,1835,
2001-05-21,Nathalie Tauziat,FRA,1789,
2001-05-21,Amanda Coetzer,RSA,1749,
2001-05-28,Martina Hingis,SUI,5725,
2001-05-28,Venus Williams,USA,5015,
2001-05-28,Lindsay Davenport,USA,4329,
2001-05-28,Jennifer Capriati,USA,3338,
2001-05-28,Amélie Mauresmo,FRA,2485,
2001-05-28,Monica Seles,USA,2424,
2001-05-28,Serena Williams,USA,2319,
2001-05-28,Arantxa Sanchez-Vicario,ESP,1934,
2001-05-28,Anna Kournikova,RUS,1926,
2001-05-28,Elena Dementieva,RUS,1861,
2001-05-28,Nathalie Tauziat,FRA,1848,
2001-05-28,Conchita Martínez,ESP,1835,
2001-06-11,Martina Hingis,SUI,5685,
2001-06-11,Venus Williams,USA,4789,
2001-06-11,Lindsay Davenport,USA,4328,
2001-06-11,Jennifer Capriati,USA,4252,
2001-06-11,Serena Williams,USA,2481,
2001-06-11,Amélie Mauresmo,FRA,2367,
2001-06-11,Kim Clijsters,BEL,2203,
2001-06-11,Monica Seles,USA,2146,
2001-06-11,Justine Henin,BEL,1915,
2001-06-11,Anna Kournikova,RUS,1893,
2001-06-11,Elena Dementieva,RUS,1819,
2001-06-11,Nathalie Tauziat,FRA,1782,
2001-06-18,Martina Hingis,SUI,5685,
2001-06-18,Venus Williams,USA,4789,
2001-06-18,Lindsay Davenport,USA,4328,
2001-06-18,Jennifer Capriati,USA,4242,
2001-06-18,Serena Williams,USA,2481,
2001-06-18,Amélie Mauresmo,FRA,2367,
2001-06-18,Kim Clijsters,BEL,2203,
2001-06-18,Monica Seles,USA,2146,
2001-06-18,Justine Henin,BEL,1915,
2001-06-18,Nathalie Tauziat,FRA,1895,
2001-06-18,Anna Kournikova,RUS,1893,
2001-06-18,Elena Dementieva,RUS,1819,
2001-06-25,Martina Hingis,SUI,5681,
2001-06-25,Venus Williams,USA,4789,
2001-06-25,Lindsay Davenport,USA,4543,
2001-06-25,Jennifer Capriati,USA,4149,
2001-06-25,Serena Williams,USA,2481,
2001-06-25,Amélie Mauresmo,FRA,2367,
2001-06-25,Kim Clijsters,BEL,2344,
2001-06-25,Monica Seles,USA,2146,
2001-06-25,Justine Henin,BEL,2113,
2001-06-25,Nathalie Tauziat,FRA,1837,
2001-06-25,Anna Kournikova,RUS,1835,
2001-06-25,Elena Dementieva,RUS,1819,
2001-07-09,Martina Hingis,SUI,5577,
2001-07-09,Venus Williams,USA,4597,
2001-07-09,Jennifer Capriati,USA,4439,
2001-07-09,Lindsay Davenport,USA,4345,
2001-07-09,Justine Henin,BEL,2691,
2001-07-09,Kim Clijsters,BEL,2446,
2001-07-09,Amélie Mauresmo,FRA,2429,
2001-07-09,Serena Williams,USA,2381,
2001-07-09,Nathalie Tauziat,FRA,2035,
2001-07-09,Monica Seles,USA,1886,
2001-07-09,Elena Dementieva,RUS,1885,
2001-07-09,Amanda Coetzer,RSA,1725,
2001-07-16,Martina Hingis,SUI,5577,
2001-07-16,Venus Williams,USA,4597,
2001-07-16,Jennifer Capriati,USA,4439,
2001-07-16,Lindsay Davenport,USA,4345,
2001-07-16,Justine Henin,BEL,2689,
2001-07-16,Kim Clijsters,BEL,2446,
2001-07-16,Amélie Mauresmo,FRA,2429,
2001-07-16,Serena Williams,USA,2381,
2001-07-16,Nathalie Tauziat,FRA,2035,
2001-07-16,Monica Seles,USA,1886,
2001-07-16,Elena Dementieva,RUS,1885,
2001-07-16,Amanda Coetzer,RSA,1725,
2001-07-23,Martina Hingis,SUI,5577,
2001-07-23,Venus Williams,USA,4597,
2001-07-23,Jennifer Capriati,USA,4439,
2001-07-23,Lindsay Davenport,USA,4345,
2001-07-23,Justine Henin,BEL,2689,
2001-07-23,Kim Clijsters,BEL,2537,
2001-07-23,Amélie Mauresmo,FRA,2429,
2001-07-23,Serena Williams,USA,2381,
2001-07-23,Nathalie Tauziat,FRA,2035,
2001-07-23,Monica Seles,USA,1886,
2001-07-23,Elena Dementieva,RUS,1885,
2001-07-23,Amanda Coetzer,RSA,1725,
2001-07-30,Martina Hingis,SUI,5577,
2001-07-30,Jennifer Capriati,USA,4439,
2001-07-30,Venus Williams,USA,4326,
2001-07-30,Lindsay Davenport,USA,4321,
2001-07-30,Kim Clijsters,BEL,2851,
2001-07-30,Justine Henin,BEL,2689,
2001-07-30,Amélie Mauresmo,FRA,2429,
2001-07-30,Serena Williams,USA,2381,
2001-07-30,Nathalie Tauziat,FRA,2035,
2001-07-30,Monica Seles,USA,1886,
2001-07-30,Elena Dementieva,RUS,1885,
2001-07-30,Amanda Coetzer,RSA,1725,
2001-08-06,Martina Hingis,SUI,5577,
2001-08-06,Jennifer Capriati,USA,4519,
2001-08-06,Lindsay Davenport,USA,4460,
2001-08-06,Venus Williams,USA,4342,
2001-08-06,Kim Clijsters,BEL,2851,
2001-08-06,Justine Henin,BEL,2667,
2001-08-06,Amélie Mauresmo,FRA,2429,
2001-08-06,Serena Williams,USA,2381,
2001-08-06,Nathalie Tauziat,FRA,2047,
2001-08-06,Monica Seles,USA,2042,
2001-08-06,Elena Dementieva,RUS,1920,
2001-08-06,Amanda Coetzer,RSA,1708,
2001-08-13,Martina Hingis,SUI,5577,
2001-08-13,Lindsay Davenport,USA,4588,
2001-08-13,Jennifer Capriati,USA,4519,
2001-08-13,Venus Williams,USA,4342,
2001-08-13,Kim Clijsters,BEL,2883,
2001-08-13,Justine Henin,BEL,2667,
2001-08-13,Amélie Mauresmo,FRA,2429,
2001-08-13,Monica Seles,USA,2352,
2001-08-13,Nathalie Tauziat,FRA,2235,
2001-08-13,Serena Williams,USA,2000,
2001-08-13,Elena Dementieva,RUS,1823,
2001-08-13,Amanda Coetzer,RSA,1708,
2001-08-20,Martina Hingis,SUI,5342,
2001-08-20,Jennifer Capriati,USA,4721,
2001-08-20,Lindsay Davenport,USA,4544,
2001-08-20,Venus Williams,USA,4342,
2001-08-20,Kim Clijsters,BEL,2883,
2001-08-20,Justine Henin,BEL,2707,
2001-08-20,Monica Seles,USA,2551,
2001-08-20,Amélie Mauresmo,FRA,2480,
2001-08-20,Nathalie Tauziat,FRA,2235,
2001-08-20,Serena Williams,USA,2125,
2001-08-20,Elena Dementieva,RUS,1837,
2001-08-20,Meghann Shaughnessy,USA,1751,
2001-08-27,Martina Hingis,SUI,5342,
2001-08-27,Jennifer Capriati,USA,4833,
2001-08-27,Lindsay Davenport,USA,4731,
2001-08-27,Venus Williams,USA,4433,
2001-08-27,Kim Clijsters,BEL,2956,
2001-08-27,Justine Henin,BEL,2693,
2001-08-27,Amélie Mauresmo,FRA,2580,
2001-08-27,Monica Seles,USA,2318,
2001-08-27,Nathalie Tauziat,FRA,2215,
2001-08-27,Serena Williams,USA,2125,
2001-08-27,Elena Dementieva,RUS,1831,
2001-08-27,Meghann Shaughnessy,USA,1744,
2001-09-10,Martina Hingis,SUI,5256,
2001-09-10,Jennifer Capriati,USA,5123,
2001-09-10,Lindsay Davenport,USA,4345,
2001-09-10,Venus Williams,USA,4333,
2001-09-10,Kim Clijsters,BEL,3176,
2001-09-10,Amélie Mauresmo,FRA,2842,
2001-09-10,Serena Williams,USA,2753,
2001-09-10,Justine Henin,BEL,2635,
2001-09-10,Monica Seles,USA,2138,
2001-09-10,Nathalie Tauziat,FRA,2083,
2001-09-10,Meghann Shaughnessy,USA,1756,
2001-09-10,Jelena Dokic,AUS,1684,
2001-09-17,Martina Hingis,SUI,5256,
2001-09-17,Jennifer Capriati,USA,5123,
2001-09-17,Lindsay Davenport,USA,4345,
2001-09-17,Venus Williams,USA,4333,
2001-09-17,Kim Clijsters,BEL,3176,
2001-09-17,Amélie Mauresmo,FRA,2842,
2001-09-17,Serena Williams,USA,2753,
2001-09-17,Justine Henin,BEL,2742,
2001-09-17,Monica Seles,USA,2414,
2001-09-17,Nathalie Tauziat,FRA,2083,
2001-09-17,Jelena Dokic,AUS,1808,
2001-09-17,Meghann Shaughnessy,USA,1756,
2001-09-24,Martina Hingis,SUI,5256,
2001-09-24,Jennifer Capriati,USA,5123,
2001-09-24,Lindsay Davenport,USA,4345,
2001-09-24,Venus Williams,USA,4333,
2001-09-24,Kim Clijsters,BEL,3246,
2001-09-24,Amélie Mauresmo,FRA,2842,
2001-09-24,Serena Williams,USA,2753,
2001-09-24,Justine Henin,BEL,2742,
2001-09-24,Monica Seles,USA,2414,
2001-09-24,Nathalie Tauziat,FRA,2083,
2001-09-24,Jelena Dokic,AUS,2070,
2001-09-24,Meghann Shaughnessy,USA,1905,
2001-10-01,Martina Hingis,SUI,5256,
2001-10-01,Jennifer Capriati,USA,4984,
2001-10-01,Lindsay Davenport,USA,4345,
2001-10-01,Venus Williams,USA,4333,
2001-10-01,Kim Clijsters,BEL,3494,
2001-10-01,Amélie Mauresmo,FRA,2842,
2001-10-01,Serena Williams,USA,2753,
2001-10-01,Justine Henin,BEL,2742,
2001-10-01,Monica Seles,USA,2414,
2001-10-01,Nathalie Tauziat,FRA,2145,
2001-10-01,Jelena Dokic,AUS,2070,
2001-10-01,Meghann Shaughnessy,USA,1905,
2001-10-08,Martina Hingis,SUI,5100,
2001-10-08,Jennifer Capriati,USA,4984,
2001-10-08,Lindsay Davenport,USA,4345,
2001-10-08,Venus Williams,USA,4333,
2001-10-08,Kim Clijsters,BEL,3280,
2001-10-08,Amélie Mauresmo,FRA,2842,
2001-10-08,Justine Henin,BEL,2704,
2001-10-08,Monica Seles,USA,2508,
2001-10-08,Serena Williams,USA,2501,
2001-10-08,Jelena Dokic,AUS,2347,
2001-10-08,Nathalie Tauziat,FRA,2089,
2001-10-08,Meghann Shaughnessy,USA,1905,
2001-10-15,Jennifer Capriati,USA,4867,
2001-10-15,Martina Hingis,SUI,4842,
2001-10-15,Lindsay Davenport,USA,4496,
2001-10-15,Venus Williams,USA,4333,
2001-10-15,Kim Clijsters,BEL,3280,
2001-10-15,Amélie Mauresmo,FRA,2917,
2001-10-15,Justine Henin,BEL,2899,
2001-10-15,Monica Seles,USA,2672,
2001-10-15,Serena Williams,USA,2501,
2001-10-15,Jelena Dokic,AUS,2343,
2001-10-15,Nathalie Tauziat,FRA,2050,
2001-10-15,Meghann Shaughnessy,USA,1905,
2001-10-22,Jennifer Capriati,USA,4962,
2001-10-22,Martina Hingis,SUI,4842,
2001-10-22,Lindsay Davenport,USA,4627,
2001-10-22,Venus Williams,USA,4128,
2001-10-22,Kim Clijsters,BEL,3280,
2001-10-22,Justine Henin,BEL,2899,
2001-10-22,Amélie Mauresmo,FRA,2881,
2001-10-22,Monica Seles,USA,2672,
2001-10-22,Jelena Dokic,AUS,2566,
2001-10-22,Serena Williams,USA,2501,
2001-10-22,Nathalie Tauziat,FRA,2206,
2001-10-22,Elena Dementieva,RUS,1866,
2001-10-29,Jennifer Capriati,USA,4962,
2001-10-29,Lindsay Davenport,USA,4901,
2001-10-29,Martina Hingis,SUI,4586,
2001-10-29,Venus Williams,USA,4128,
2001-10-29,Kim Clijsters,BEL,3456,
2001-10-29,Justine Henin,BEL,2899,
2001-10-29,Amélie Mauresmo,FRA,2711,
2001-10-29,Jelena Dokic,AUS,2704,
2001-10-29,Monica Seles,USA,2672,
2001-10-29,Serena Williams,USA,2501,
2001-10-29,Nathalie Tauziat,FRA,2058,
2001-10-29,Elena Dementieva,RUS,1817,
2001-11-05,Lindsay Davenport,USA,4902,
2001-11-05,Jennifer Capriati,USA,4892,
2001-11-05,Venus Williams,USA,4128,
2001-11-05,Martina Hingis,SUI,3944,
2001-11-05,Kim Clijsters,BEL,3265,
2001-11-05,Serena Williams,USA,3004,
2001-11-05,Justine Henin,BEL,2989,
2001-11-05,Jelena Dokic,AUS,2780,
2001-11-05,Amélie Mauresmo,FRA,2765,
2001-11-05,Monica Seles,USA,2306,
2001-11-05,Sandrine Testud,FRA,2056,
2001-11-05,Meghann Shaughnessy,USA,1833,
2001-11-12,Lindsay Davenport,USA,4902,
2001-11-12,Jennifer Capriati,USA,4892,
2001-11-12,Venus Williams,USA,4128,
2001-11-12,Martina Hingis,SUI,3944,
2001-11-12,Kim Clijsters,BEL,3265,
2001-11-12,Serena Williams,USA,3004,
2001-11-12,Justine Henin,BEL,2989,
2001-11-12,Jelena Dokic,AUS,2780,
2001-11-12,Amélie Mauresmo,FRA,2765,
2001-11-12,Monica Seles,USA,2306,
2001-11-12,Sandrine Testud,FRA,2056,
2001-11-12,Meghann Shaughnessy,USA,1833,
2001-11-19,Lindsay Davenport,USA,4902,
2001-11-19,Jennifer Capriati,USA,4892,
2001-11-19,Venus Williams,USA,4128,
2001-11-19,Martina Hingis,SUI,3944,
2001-11-19,Kim Clijsters,BEL,3265,
2001-11-19,Serena Williams,USA,3004,
2001-11-19,Justine Henin,BEL,2989,
2001-11-19,Jelena Dokic,AUS,2780,
2001-11-19,Amélie Mauresmo,FRA,2765,
2001-11-19,Monica Seles,USA,2306,
2001-11-19,Sandrine Testud,FRA,2056,
2001-11-19,Meghann Shaughnessy,USA,1833,
2001-11-26,Lindsay Davenport,USA,4902,
2001-11-26,Jennifer Capriati,USA,4892,
2001-11-26,Venus Williams,USA,4128,
2001-11-26,Martina Hingis,SUI,3944,
2001-11-26,Kim Clijsters,BEL,3265,
2001-11-26,Serena Williams,USA,3004,
2001-11-26,Justine Henin,BEL,2989,
2001-11-26,Jelena Dokic,AUS,2780,
2001-11-26,Amélie Mauresmo,FRA,2765,
2001-11-26,Monica Seles,USA,2306,
2001-11-26,Sandrine Testud,FRA,2056,
2001-11-26,Meghann Shaughnessy,USA,1833,
2001-12-03,Lindsay Davenport,USA,4902,
2001-12-03,Jennifer Capriati,USA,4892,
2001-12-03,Venus Williams,USA,4128,
2001-12-03,Martina Hingis,SUI,3944,
2001-12-03,Kim Clijsters,BEL,3265,
2001-12-03,Serena Williams,USA,3004,
2001-12-03,Justine Henin,BEL,2989,
2001-12-03,Jelena Dokic,AUS,2780,
2001-12-03,Amélie Mauresmo,FRA,2765,
2001-12-03,Monica Seles,USA,2306,
2001-12-03,Sandrine Testud,FRA,2056,
2001-12-03,Meghann Shaughnessy,USA,1833,
2001-12-10,Lindsay Davenport,USA,4902,
2001-12-10,Jennifer Capriati,USA,4892,
2001-12-10,Venus Williams,USA,4128,
2001-12-10,Martina Hingis,SUI,3944,
2001-12-10,Kim Clijsters,BEL,3265,
2001-12-10,Serena Williams,USA,3004,
2001-12-10,Justine Henin,BEL,2980,
2001-12-10,Jelena Dokic,AUS,2780,
2001-12-10,Amélie Mauresmo,FRA,2765,
2001-12-10,Monica Seles,USA,2306,
2001-12-10,Sandrine Testud,FRA,2056,
2001-12-10,Meghann Shaughnessy,USA,1833,
2001-12-17,Lindsay Davenport,USA,4902,
2001-12-17,Jennifer Capriati,USA,4892,
2001-12-17,Venus Williams,USA,4128,
2001-12-17,Martina Hingis,SUI,3944,
2001-12-17,Kim Clijsters,BEL,3265,
2001-12-17,Serena Williams,USA,3004,
